row_no,level,issue_code,message,sd_product_code,master_type,raw_value
765,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",MIOT22764AT,,
766,warning,image_missing,No source image URLs found in 画像1〜3.,HYKS22765AT,,
767,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX22766AT,,
768,warning,image_missing,No source image URLs found in 画像1〜3.,MIYY22767AT,,
769,warning,image_missing,No source image URLs found in 画像1〜3.,MIBL22768AT,,
770,warning,image_missing,No source image URLs found in 画像1〜3.,MISN22769AT,,
771,warning,image_missing,No source image URLs found in 画像1〜3.,MIYY22770AT,,
772,warning,image_missing,No source image URLs found in 画像1〜3.,EHTR22771AT,,
773,warning,image_missing,No source image URLs found in 画像1〜3.,EHTC22772AT,,
774,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22773AT,,
775,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22774AT,,
776,warning,image_missing,No source image URLs found in 画像1〜3.,OYNT22775AT,,
777,warning,image_missing,No source image URLs found in 画像1〜3.,OYNT22776AT,,
778,warning,image_missing,No source image URLs found in 画像1〜3.,OYNT22777AT,,
779,warning,image_missing,No source image URLs found in 画像1〜3.,OYNT22778AT,,
780,warning,image_missing,No source image URLs found in 画像1〜3.,OYNT22779AT,,
781,warning,image_missing,No source image URLs found in 画像1〜3.,OYGX22780AT,,
782,warning,image_missing,No source image URLs found in 画像1〜3.,EHCY22781AT,,
783,warning,image_missing,No source image URLs found in 画像1〜3.,EHCY22782AT,,
784,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22783AT,,
785,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22784AT,,
786,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22785AT,,
787,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22786AT,,
788,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22787AT,,
789,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22788AT,,
790,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22789AT,,
791,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22790AT,,
792,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22791AT,,
793,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22792AT,,
794,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22793AT,,
795,warning,image_missing,No source image URLs found in 画像1〜3.,HYTR22794AT,,
796,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX22795AT,,
797,warning,image_missing,No source image URLs found in 画像1〜3.,SAMX22796AT,,
798,warning,image_missing,No source image URLs found in 画像1〜3.,SAMX22797AT,,
799,warning,image_missing,No source image URLs found in 画像1〜3.,SAMX22798AT,,
800,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX22799AT,,
801,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG22800AT,,
802,warning,image_missing,No source image URLs found in 画像1〜3.,SAST23801AT,,
803,warning,maker_unregistered,maker is empty.,SAOT23802AT,maker,
803,warning,image_missing,No source image URLs found in 画像1〜3.,SAOT23802AT,,
803,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOT23802AT,,
804,warning,image_missing,No source image URLs found in 画像1〜3.,SAMC23803AT,,
804,warning,sd_product_code_validation,"Maker legacy code MC is shared by ['MAXICAM', 'MUSCLE_CLAMP'].",SAMC23803AT,,
805,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX23804AT,,
806,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX23805AT,,
807,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX23806AT,,
808,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG23807AT,,
809,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG23808AT,,
810,warning,image_missing,No source image URLs found in 画像1〜3.,HYCY23809AT,,
811,warning,image_missing,No source image URLs found in 画像1〜3.,HYZV23810AT,,
812,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX23811AT,,
813,warning,category_unregistered,category is empty.,HYNT23812AT,category,
813,warning,image_missing,No source image URLs found in 画像1〜3.,HYNT23812AT,,
814,warning,category_unregistered,category is empty.,HYNT23813AT,category,
814,warning,image_missing,No source image URLs found in 画像1〜3.,HYNT23813AT,,
815,warning,category_unregistered,category is empty.,HYNT23814AT,category,
815,warning,image_missing,No source image URLs found in 画像1〜3.,HYNT23814AT,,
816,warning,category_unregistered,category is empty.,HYIV23815AT,category,
816,warning,image_missing,No source image URLs found in 画像1〜3.,HYIV23815AT,,
817,warning,category_unregistered,category is empty.,HYNT23816AT,category,
817,warning,image_missing,No source image URLs found in 画像1〜3.,HYNT23816AT,,
818,warning,category_unregistered,category is empty.,HYNT23817AT,category,
818,warning,image_missing,No source image URLs found in 画像1〜3.,HYNT23817AT,,
819,warning,maker_unregistered,maker is empty.,SAOT23818AT,maker,
819,warning,image_missing,No source image URLs found in 画像1〜3.,SAOT23818AT,,
819,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOT23818AT,,
820,warning,image_missing,No source image URLs found in 画像1〜3.,SANB23819AT,,
